Pavarde             Vardas              Galutinis (Vid.)    
Vardas90            Pavarde90           2.40                
Vardas278           Pavarde278          2.40                
Vardas644           Pavarde644          2.40                
Vardas82            Pavarde82           2.40                
Vardas792           Pavarde792          2.40                
Vardas953           Pavarde953          2.40                
Vardas501           Pavarde501          2.60                
Vardas845           Pavarde845          2.60                
Vardas1000          Pavarde1000         2.60                
Vardas283           Pavarde283          2.60                
Vardas970           Pavarde970          2.60                
Vardas647           Pavarde647          2.60                
Vardas7             Pavarde7            2.60                
Vardas876           Pavarde876          2.60                
Vardas710           Pavarde710          2.60                
Vardas902           Pavarde902          2.60                
Vardas168           Pavarde168          2.60                
Vardas384           Pavarde384          2.60                
Vardas297           Pavarde297          2.60                
Vardas893           Pavarde893          2.60                
Vardas957           Pavarde957          2.60                
Vardas723           Pavarde723          2.60                
Vardas512           Pavarde512          2.60                
Vardas896           Pavarde896          2.60                
Vardas1000          Pavarde1000         2.60                
Vardas91            Pavarde91           2.60                
Vardas866           Pavarde866          2.60                
Vardas834           Pavarde834          2.60                
Vardas802           Pavarde802          2.60                
Vardas385           Pavarde385          2.60                
Vardas459           Pavarde459          2.60                
Vardas883           Pavarde883          2.60                
Vardas899           Pavarde899          2.60                
Vardas98            Pavarde98           2.60                
Vardas229           Pavarde229          2.60                
Vardas929           Pavarde929          2.60                
Vardas963           Pavarde963          2.60                
Vardas655           Pavarde655          2.80                
Vardas258           Pavarde258          2.80                
Vardas854           Pavarde854          2.80                
Vardas398           Pavarde398          2.80                
Vardas337           Pavarde337          2.80                
Vardas762           Pavarde762          2.80                
Vardas968           Pavarde968          2.80                
Vardas488           Pavarde488          2.80                
Vardas935           Pavarde935          2.80                
Vardas73            Pavarde73           2.80                
Vardas863           Pavarde863          2.80                
Vardas233           Pavarde233          2.80                
Vardas705           Pavarde705          2.80                
Vardas690           Pavarde690          2.80                
Vardas989           Pavarde989          2.80                
Vardas386           Pavarde386          2.80                
Vardas11            Pavarde11           3.00                
Vardas719           Pavarde719          3.00                
Vardas553           Pavarde553          3.00                
Vardas234           Pavarde234          3.00                
Vardas195           Pavarde195          3.00                
Vardas160           Pavarde160          3.00                
Vardas510           Pavarde510          3.00                
Vardas944           Pavarde944          3.00                
Vardas941           Pavarde941          3.00                
Vardas847           Pavarde847          3.00                
Vardas791           Pavarde791          3.00                
Vardas114           Pavarde114          3.00                
Vardas546           Pavarde546          3.00                
Vardas178           Pavarde178          3.00                
Vardas95            Pavarde95           3.00                
Vardas3             Pavarde3            3.00                
Vardas706           Pavarde706          3.00                
Vardas347           Pavarde347          3.00                
Vardas700           Pavarde700          3.00                
Vardas767           Pavarde767          3.00                
Vardas196           Pavarde196          3.00                
Vardas894           Pavarde894          3.00                
Vardas420           Pavarde420          3.00                
Vardas918           Pavarde918          3.00                
Vardas411           Pavarde411          3.20                
Vardas217           Pavarde217          3.20                
Vardas302           Pavarde302          3.20                
Vardas503           Pavarde503          3.20                
Vardas226           Pavarde226          3.20                
Vardas919           Pavarde919          3.20                
Vardas747           Pavarde747          3.20                
Vardas720           Pavarde720          3.20                
Vardas780           Pavarde780          3.20                
Vardas321           Pavarde321          3.20                
Vardas532           Pavarde532          3.20                
Vardas396           Pavarde396          3.20                
Vardas695           Pavarde695          3.20                
Vardas164           Pavarde164          3.40                
Vardas122           Pavarde122          3.40                
Vardas491           Pavarde491          3.40                
Vardas272           Pavarde272          3.40                
Vardas998           Pavarde998          3.40                
Vardas484           Pavarde484          3.40                
Vardas815           Pavarde815          3.40                
Vardas19            Pavarde19           3.40                
Vardas530           Pavarde530          3.40                
Vardas285           Pavarde285          3.40                
Vardas855           Pavarde855          3.40                
Vardas869           Pavarde869          3.40                
Vardas265           Pavarde265          3.40                
Vardas979           Pavarde979          3.40                
Vardas368           Pavarde368          3.40                
Vardas424           Pavarde424          3.40                
Vardas600           Pavarde600          3.40                
Vardas45            Pavarde45           3.40                
Vardas453           Pavarde453          3.40                
Vardas474           Pavarde474          3.40                
Vardas886           Pavarde886          3.40                
Vardas666           Pavarde666          3.40                
Vardas659           Pavarde659          3.40                
Vardas240           Pavarde240          3.40                
Vardas315           Pavarde315          3.40                
Vardas656           Pavarde656          3.40                
Vardas824           Pavarde824          3.40                
Vardas751           Pavarde751          3.40                
Vardas796           Pavarde796          3.40                
Vardas736           Pavarde736          3.40                
Vardas471           Pavarde471          3.40                
Vardas141           Pavarde141          3.40                
Vardas778           Pavarde778          3.40                
Vardas191           Pavarde191          3.40                
Vardas397           Pavarde397          3.40                
Vardas612           Pavarde612          3.40                
Vardas646           Pavarde646          3.60                
Vardas912           Pavarde912          3.60                
Vardas549           Pavarde549          3.60                
Vardas852           Pavarde852          3.60                
Vardas68            Pavarde68           3.60                
Vardas342           Pavarde342          3.60                
Vardas939           Pavarde939          3.60                
Vardas734           Pavarde734          3.60                
Vardas661           Pavarde661          3.60                
Vardas840           Pavarde840          3.60                
Vardas37            Pavarde37           3.60                
Vardas418           Pavarde418          3.60                
Vardas252           Pavarde252          3.60                
Vardas24            Pavarde24           3.60                
Vardas830           Pavarde830          3.60                
Vardas748           Pavarde748          3.60                
Vardas745           Pavarde745          3.60                
Vardas88            Pavarde88           3.60                
Vardas235           Pavarde235          3.60                
Vardas562           Pavarde562          3.80                
Vardas629           Pavarde629          3.80                
Vardas591           Pavarde591          3.80                
Vardas249           Pavarde249          3.80                
Vardas580           Pavarde580          3.80                
Vardas702           Pavarde702          3.80                
Vardas69            Pavarde69           3.80                
Vardas975           Pavarde975          3.80                
Vardas971           Pavarde971          3.80                
Vardas179           Pavarde179          3.80                
Vardas964           Pavarde964          3.80                
Vardas940           Pavarde940          3.80                
Vardas670           Pavarde670          3.80                
Vardas349           Pavarde349          3.80                
Vardas477           Pavarde477          3.80                
Vardas543           Pavarde543          3.80                
Vardas563           Pavarde563          3.80                
Vardas293           Pavarde293          3.80                
Vardas119           Pavarde119          3.80                
Vardas789           Pavarde789          3.80                
Vardas112           Pavarde112          3.80                
Vardas726           Pavarde726          3.80                
Vardas340           Pavarde340          3.80                
Vardas345           Pavarde345          3.80                
Vardas31            Pavarde31           3.80                
Vardas965           Pavarde965          3.80                
Vardas387           Pavarde387          3.80                
Vardas26            Pavarde26           3.80                
Vardas245           Pavarde245          3.80                
Vardas880           Pavarde880          3.80                
Vardas343           Pavarde343          3.80                
Vardas370           Pavarde370          3.80                
Vardas427           Pavarde427          4.00                
Vardas469           Pavarde469          4.00                
Vardas360           Pavarde360          4.00                
Vardas25            Pavarde25           4.00                
Vardas806           Pavarde806          4.00                
Vardas492           Pavarde492          4.00                
Vardas557           Pavarde557          4.00                
Vardas595           Pavarde595          4.00                
Vardas96            Pavarde96           4.00                
Vardas987           Pavarde987          4.00                
Vardas42            Pavarde42           4.00                
Vardas511           Pavarde511          4.00                
Vardas930           Pavarde930          4.00                
Vardas111           Pavarde111          4.00                
Vardas937           Pavarde937          4.00                
Vardas633           Pavarde633          4.00                
Vardas560           Pavarde560          4.00                
Vardas821           Pavarde821          4.00                
Vardas131           Pavarde131          4.00                
Vardas300           Pavarde300          4.00                
Vardas158           Pavarde158          4.00                
Vardas205           Pavarde205          4.00                
Vardas867           Pavarde867          4.00                
Vardas452           Pavarde452          4.00                
Vardas151           Pavarde151          4.00                
Vardas545           Pavarde545          4.00                
Vardas565           Pavarde565          4.00                
Vardas763           Pavarde763          4.00                
Vardas66            Pavarde66           4.00                
Vardas401           Pavarde401          4.00                
Vardas224           Pavarde224          4.20                
Vardas837           Pavarde837          4.20                
Vardas910           Pavarde910          4.20                
Vardas144           Pavarde144          4.20                
Vardas433           Pavarde433          4.20                
Vardas486           Pavarde486          4.20                
Vardas247           Pavarde247          4.20                
Vardas795           Pavarde795          4.20                
Vardas683           Pavarde683          4.20                
Vardas758           Pavarde758          4.20                
Vardas605           Pavarde605          4.20                
Vardas921           Pavarde921          4.20                
Vardas728           Pavarde728          4.20                
Vardas269           Pavarde269          4.20                
Vardas611           Pavarde611          4.20                
Vardas568           Pavarde568          4.20                
Vardas354           Pavarde354          4.20                
Vardas136           Pavarde136          4.20                
Vardas116           Pavarde116          4.20                
Vardas264           Pavarde264          4.20                
Vardas163           Pavarde163          4.20                
Vardas362           Pavarde362          4.20                
Vardas99            Pavarde99           4.20                
Vardas857           Pavarde857          4.20                
Vardas416           Pavarde416          4.20                
Vardas638           Pavarde638          4.20                
Vardas663           Pavarde663          4.20                
Vardas243           Pavarde243          4.40                
Vardas57            Pavarde57           4.40                
Vardas564           Pavarde564          4.40                
Vardas481           Pavarde481          4.40                
Vardas142           Pavarde142          4.40                
Vardas314           Pavarde314          4.40                
Vardas174           Pavarde174          4.40                
Vardas688           Pavarde688          4.40                
Vardas181           Pavarde181          4.40                
Vardas194           Pavarde194          4.40                
Vardas681           Pavarde681          4.40                
Vardas715           Pavarde715          4.40                
Vardas677           Pavarde677          4.40                
Vardas203           Pavarde203          4.40                
Vardas215           Pavarde215          4.40                
Vardas786           Pavarde786          4.40                
Vardas49            Pavarde49           4.40                
Vardas986           Pavarde986          4.40                
Vardas990           Pavarde990          4.40                
Vardas985           Pavarde985          4.40                
Vardas667           Pavarde667          4.40                
Vardas576           Pavarde576          4.40                
Vardas408           Pavarde408          4.40                
Vardas907           Pavarde907          4.40                
Vardas445           Pavarde445          4.40                
Vardas956           Pavarde956          4.40                
Vardas250           Pavarde250          4.40                
Vardas679           Pavarde679          4.40                
Vardas214           Pavarde214          4.60                
Vardas895           Pavarde895          4.60                
Vardas364           Pavarde364          4.60                
Vardas522           Pavarde522          4.60                
Vardas651           Pavarde651          4.60                
Vardas946           Pavarde946          4.60                
Vardas46            Pavarde46           4.60                
Vardas573           Pavarde573          4.60                
Vardas118           Pavarde118          4.60                
Vardas50            Pavarde50           4.60                
Vardas117           Pavarde117          4.60                
Vardas685           Pavarde685          4.60                
Vardas227           Pavarde227          4.60                
Vardas607           Pavarde607          4.60                
Vardas461           Pavarde461          4.60                
Vardas316           Pavarde316          4.60                
Vardas976           Pavarde976          4.60                
Vardas97            Pavarde97           4.60                
Vardas348           Pavarde348          4.60                
Vardas89            Pavarde89           4.60                
Vardas856           Pavarde856          4.60                
Vardas212           Pavarde212          4.60                
Vardas83            Pavarde83           4.60                
Vardas871           Pavarde871          4.60                
Vardas180           Pavarde180          4.60                
Vardas525           Pavarde525          4.60                
Vardas499           Pavarde499          4.60                
Vardas900           Pavarde900          4.60                
Vardas838           Pavarde838          4.60                
Vardas305           Pavarde305          4.60                
Vardas769           Pavarde769          4.60                
Vardas454           Pavarde454          4.60                
Vardas892           Pavarde892          4.60                
Vardas799           Pavarde799          4.80                
Vardas737           Pavarde737          4.80                
Vardas691           Pavarde691          4.80                
Vardas84            Pavarde84           4.80                
Vardas365           Pavarde365          4.80                
Vardas916           Pavarde916          4.80                
Vardas457           Pavarde457          4.80                
Vardas448           Pavarde448          4.80                
Vardas307           Pavarde307          4.80                
Vardas680           Pavarde680          4.80                
Vardas772           Pavarde772          4.80                
Vardas509           Pavarde509          4.80                
Vardas708           Pavarde708          4.80                
Vardas415           Pavarde415          4.80                
Vardas808           Pavarde808          4.80                
Vardas793           Pavarde793          4.80                
Vardas460           Pavarde460          4.80                
Vardas206           Pavarde206          4.80                
Vardas527           Pavarde527          4.80                
Vardas139           Pavarde139          4.80                
Vardas555           Pavarde555          4.80                
Vardas103           Pavarde103          4.80                
Vardas230           Pavarde230          4.80                
Vardas351           Pavarde351          4.80                
Vardas613           Pavarde613          4.80                
Vardas438           Pavarde438          4.80                
Vardas658           Pavarde658          4.80                
Vardas1             Pavarde1            4.80                
Vardas79            Pavarde79           4.80                
Vardas183           Pavarde183          4.80                
Vardas934           Pavarde934          4.80                
