Pavarde             Vardas              Nd1       Egzaminas 
Pavarde146          Vardas146           6         6         
Pavarde147          Vardas147           1         10        
Pavarde148          Vardas148           1         10        
Pavarde149          Vardas149           6         6         
Pavarde150          Vardas150           8         5         
Pavarde151          Vardas151           4         4         
Pavarde152          Vardas152           10        4         
Pavarde153          Vardas153           9         7         
Pavarde154          Vardas154           2         7         
Pavarde155          Vardas155           1         10        
Pavarde156          Vardas156           5         5         
Pavarde157          Vardas157           10        3         
Pavarde158          Vardas158           7         2         
Pavarde159          Vardas159           9         3         
Pavarde160          Vardas160           3         3         
Pavarde161          Vardas161           7         10        
Pavarde162          Vardas162           9         6         
Pavarde163          Vardas163           9         1         
Pavarde164          Vardas164           1         5         
Pavarde165          Vardas165           4         10        
Pavarde166          Vardas166           8         4         
Pavarde167          Vardas167           8         3         
Pavarde168          Vardas168           2         3         
Pavarde169          Vardas169           7         6         
Pavarde170          Vardas170           5         8         
Pavarde171          Vardas171           10        5         
Pavarde172          Vardas172           5         8         
Pavarde173          Vardas173           9         8         
Pavarde174          Vardas174           2         6         
Pavarde175          Vardas175           6         8         
Pavarde176          Vardas176           1         8         
Pavarde177          Vardas177           6         7         
Pavarde178          Vardas178           6         1         
Pavarde179          Vardas179           5         3         
Pavarde180          Vardas180           1         7         
Pavarde181          Vardas181           2         6         
Pavarde182          Vardas182           10        10        
Pavarde183          Vardas183           6         4         
Pavarde184          Vardas184           4         10        
Pavarde185          Vardas185           6         10        
Pavarde186          Vardas186           8         8         
Pavarde187          Vardas187           3         7         
Pavarde188          Vardas188           6         7         
Pavarde189          Vardas189           10        5         
Pavarde190          Vardas190           5         8         
Pavarde191          Vardas191           7         1         
Pavarde192          Vardas192           4         8         
Pavarde193          Vardas193           7         9         
Pavarde194          Vardas194           2         6         
Pavarde195          Vardas195           3         3         
Pavarde196          Vardas196           6         1         
Pavarde197          Vardas197           3         8         
Pavarde198          Vardas198           9         6         
Pavarde199          Vardas199           10        9         
Pavarde200          Vardas200           5         9         
Pavarde201          Vardas201           7         10        
Pavarde202          Vardas202           1         10        
Pavarde203          Vardas203           2         6         
Pavarde204          Vardas204           5         8         
Pavarde205          Vardas205           4         4         
Pavarde206          Vardas206           3         6         
Pavarde207          Vardas207           10        6         
Pavarde208          Vardas208           9         4         
Pavarde209          Vardas209           9         9         
Pavarde210          Vardas210           3         7         
Pavarde211          Vardas211           7         7         
Pavarde212          Vardas212           4         5         
Pavarde213          Vardas213           5         8         
Pavarde214          Vardas214           4         5         
Pavarde215          Vardas215           2         6         
Pavarde216          Vardas216           8         8         
Pavarde217          Vardas217           5         2         
Pavarde218          Vardas218           1         2         
Pavarde219          Vardas219           1         2         
Pavarde220          Vardas220           7         9         
Pavarde221          Vardas221           9         10        
Pavarde222          Vardas222           2         10        
Pavarde223          Vardas223           9         5         
Pavarde224          Vardas224           3         5         
Pavarde225          Vardas225           4         1         
Pavarde226          Vardas226           2         4         
Pavarde227          Vardas227           7         3         
Pavarde228          Vardas228           4         1         
Pavarde229          Vardas229           5         1         
Pavarde230          Vardas230           6         4         
Pavarde231          Vardas231           2         2         
Pavarde232          Vardas232           10        3         
Pavarde233          Vardas233           1         4         
Pavarde234          Vardas234           3         3         
Pavarde235          Vardas235           6         2         
Pavarde236          Vardas236           8         9         
Pavarde237          Vardas237           8         7         
Pavarde238          Vardas238           7         5         
Pavarde239          Vardas239           9         7         
Pavarde240          Vardas240           4         3         
Pavarde241          Vardas241           4         8         
Pavarde242          Vardas242           5         8         
Pavarde243          Vardas243           2         6         
Pavarde244          Vardas244           10        5         
Pavarde245          Vardas245           8         1         
Pavarde246          Vardas246           4         7         
Pavarde247          Vardas247           9         1         
Pavarde248          Vardas248           10        10        
Pavarde249          Vardas249           2         5         
Pavarde250          Vardas250           8         2         
Pavarde251          Vardas251           2         8         
Pavarde252          Vardas252           6         2         
Pavarde253          Vardas253           4         1         
Pavarde254          Vardas254           9         7         
Pavarde255          Vardas255           5         7         
Pavarde256          Vardas256           7         7         
Pavarde257          Vardas257           2         2         
Pavarde258          Vardas258           1         4         
Pavarde259          Vardas259           10        6         
Pavarde260          Vardas260           9         10        
Pavarde261          Vardas261           10        4         
Pavarde262          Vardas262           7         4         
Pavarde263          Vardas263           7         9         
Pavarde264          Vardas264           6         3         
Pavarde265          Vardas265           4         3         
Pavarde266          Vardas266           9         9         
Pavarde267          Vardas267           6         8         
Pavarde268          Vardas268           10        10        
Pavarde269          Vardas269           3         5         
Pavarde270          Vardas270           7         8         
Pavarde271          Vardas271           5         6         
Pavarde272          Vardas272           4         3         
Pavarde273          Vardas273           4         7         
Pavarde274          Vardas274           4         9         
Pavarde275          Vardas275           9         8         
Pavarde276          Vardas276           6         10        
Pavarde277          Vardas277           8         3         
Pavarde278          Vardas278           3         2         
Pavarde279          Vardas279           7         9         
Pavarde280          Vardas280           3         10        
Pavarde281          Vardas281           8         6         
Pavarde282          Vardas282           6         8         
Pavarde283          Vardas283           2         3         
Pavarde284          Vardas284           6         8         
Pavarde285          Vardas285           1         5         
Pavarde286          Vardas286           8         6         
Pavarde287          Vardas287           6         10        
Pavarde288          Vardas288           3         8         
Pavarde289          Vardas289           9         8         
Pavarde290          Vardas290           5         7         
Pavarde291          Vardas291           8         3         
Pavarde292          Vardas292           1         1         
Pavarde293          Vardas293           5         3         
Pavarde294          Vardas294           9         6         
Pavarde295          Vardas295           5         9         
Pavarde296          Vardas296           9         9         
Pavarde297          Vardas297           2         3         
Pavarde298          Vardas298           9         8         
Pavarde299          Vardas299           9         5         
Pavarde300          Vardas300           7         2         
Pavarde301          Vardas301           6         5         
Pavarde302          Vardas302           5         2         
Pavarde303          Vardas303           2         9         
Pavarde304          Vardas304           3         9         
Pavarde305          Vardas305           1         7         
Pavarde306          Vardas306           1         8         
Pavarde307          Vardas307           3         6         
Pavarde308          Vardas308           9         5         
Pavarde309          Vardas309           10        2         
Pavarde310          Vardas310           10        10        
Pavarde311          Vardas311           8         3         
Pavarde312          Vardas312           7         7         
Pavarde313          Vardas313           9         6         
Pavarde314          Vardas314           2         6         
Pavarde315          Vardas315           1         5         
Pavarde316          Vardas316           10        1         
Pavarde317          Vardas317           10        4         
Pavarde318          Vardas318           9         3         
Pavarde319          Vardas319           3         10        
Pavarde320          Vardas320           7         10        
Pavarde321          Vardas321           5         2         
Pavarde322          Vardas322           4         10        
Pavarde323          Vardas323           4         1         
Pavarde324          Vardas324           8         9         
Pavarde325          Vardas325           8         4         
Pavarde326          Vardas326           9         3         
Pavarde327          Vardas327           3         8         
Pavarde328          Vardas328           3         1         
Pavarde329          Vardas329           1         2         
Pavarde330          Vardas330           6         9         
Pavarde331          Vardas331           10        3         
Pavarde332          Vardas332           8         8         
Pavarde333          Vardas333           10        6         
Pavarde334          Vardas334           10        10        
Pavarde335          Vardas335           1         3         
Pavarde336          Vardas336           5         6         
Pavarde337          Vardas337           1         4         
Pavarde338          Vardas338           1         1         
Pavarde339          Vardas339           9         8         
Pavarde340          Vardas340           5         3         
Pavarde341          Vardas341           1         9         
Pavarde342          Vardas342           3         4         
Pavarde343          Vardas343           8         1         
Pavarde344          Vardas344           6         6         
Pavarde345          Vardas345           5         3         
Pavarde346          Vardas346           5         8         
Pavarde347          Vardas347           6         1         
Pavarde348          Vardas348           4         5         
Pavarde349          Vardas349           2         5         
Pavarde350          Vardas350           1         3         
Pavarde351          Vardas351           6         4         
Pavarde352          Vardas352           10        6         
Pavarde353          Vardas353           1         10        
Pavarde354          Vardas354           6         3         
Pavarde355          Vardas355           4         7         
Pavarde356          Vardas356           4         7         
Pavarde357          Vardas357           8         7         
Pavarde358          Vardas358           3         9         
Pavarde359          Vardas359           5         10        
Pavarde360          Vardas360           1         6         
Pavarde361          Vardas361           7         7         
Pavarde362          Vardas362           9         1         
Pavarde363          Vardas363           3         2         
Pavarde364          Vardas364           7         3         
Pavarde365          Vardas365           9         2         
Pavarde366          Vardas366           7         8         
Pavarde367          Vardas367           10        8         
Pavarde368          Vardas368           4         3         
Pavarde369          Vardas369           9         9         
Pavarde370          Vardas370           8         1         
Pavarde371          Vardas371           6         10        
Pavarde372          Vardas372           6         5         
Pavarde373          Vardas373           5         9         
Pavarde374          Vardas374           10        5         
Pavarde375          Vardas375           9         9         
Pavarde376          Vardas376           7         9         
Pavarde377          Vardas377           6         7         
Pavarde378          Vardas378           10        2         
Pavarde379          Vardas379           4         8         
Pavarde380          Vardas380           10        9         
Pavarde381          Vardas381           9         10        
Pavarde382          Vardas382           7         4         
Pavarde383          Vardas383           6         8         
Pavarde384          Vardas384           2         3         
Pavarde385          Vardas385           5         1         
Pavarde386          Vardas386           1         4         
Pavarde387          Vardas387           8         1         
Pavarde388          Vardas388           6         10        
Pavarde389          Vardas389           2         2         
Pavarde390          Vardas390           10        9         
Pavarde391          Vardas391           2         10        
Pavarde392          Vardas392           7         8         
Pavarde393          Vardas393           8         3         
Pavarde394          Vardas394           7         6         
Pavarde395          Vardas395           7         8         
Pavarde396          Vardas396           5         2         
Pavarde397          Vardas397           7         1         
Pavarde398          Vardas398           4         2         
Pavarde399          Vardas399           10        2         
Pavarde400          Vardas400           8         10        
Pavarde401          Vardas401           4         4         
Pavarde402          Vardas402           10        9         
Pavarde403          Vardas403           8         6         
Pavarde404          Vardas404           5         7         
Pavarde405          Vardas405           9         4         
Pavarde406          Vardas406           6         5         
Pavarde407          Vardas407           9         5         
Pavarde408          Vardas408           5         4         
Pavarde409          Vardas409           8         4         
Pavarde410          Vardas410           6         6         
Pavarde411          Vardas411           5         2         
Pavarde412          Vardas412           5         10        
Pavarde413          Vardas413           5         9         
Pavarde414          Vardas414           7         4         
Pavarde415          Vardas415           3         6         
Pavarde416          Vardas416           9         1         
Pavarde417          Vardas417           8         6         
Pavarde418          Vardas418           6         2         
Pavarde419          Vardas419           3         10        
Pavarde420          Vardas420           6         1         
Pavarde421          Vardas421           8         9         
Pavarde422          Vardas422           2         7         
Pavarde423          Vardas423           8         6         
Pavarde424          Vardas424           4         3         
Pavarde425          Vardas425           6         8         
Pavarde426          Vardas426           10        2         
Pavarde427          Vardas427           1         6         
Pavarde428          Vardas428           1         9         
Pavarde429          Vardas429           9         4         
Pavarde430          Vardas430           3         7         
Pavarde431          Vardas431           2         2         
Pavarde432          Vardas432           8         9         
Pavarde433          Vardas433           6         3         
Pavarde434          Vardas434           4         10        
Pavarde435          Vardas435           5         10        
Pavarde436          Vardas436           4         10        
Pavarde437          Vardas437           5         10        
Pavarde438          Vardas438           6         4         
Pavarde439          Vardas439           10        3         
Pavarde440          Vardas440           6         10        
Pavarde441          Vardas441           1         9         
Pavarde442          Vardas442           1         9         
Pavarde443          Vardas443           3         9         
Pavarde444          Vardas444           10        8         
Pavarde445          Vardas445           8         2         
Pavarde446          Vardas446           2         2         
Pavarde447          Vardas447           9         8         
Pavarde448          Vardas448           3         6         
Pavarde449          Vardas449           1         2         
Pavarde450          Vardas450           3         7         
Pavarde451          Vardas451           2         2         
Pavarde452          Vardas452           4         4         
Pavarde453          Vardas453           4         3         
Pavarde454          Vardas454           1         7         
Pavarde455          Vardas455           1         1         
Pavarde456          Vardas456           2         2         
Pavarde457          Vardas457           3         6         
Pavarde458          Vardas458           8         10        
Pavarde459          Vardas459           5         1         
Pavarde460          Vardas460           9         2         
Pavarde461          Vardas461           10        1         
Pavarde462          Vardas462           7         9         
Pavarde463          Vardas463           2         9         
Pavarde464          Vardas464           1         3         
Pavarde465          Vardas465           7         9         
Pavarde466          Vardas466           4         8         
Pavarde467          Vardas467           10        4         
Pavarde468          Vardas468           10        8         
Pavarde469          Vardas469           1         6         
Pavarde470          Vardas470           10        7         
Pavarde471          Vardas471           7         1         
Pavarde472          Vardas472           4         1         
Pavarde473          Vardas473           4         7         
Pavarde474          Vardas474           4         3         
Pavarde475          Vardas475           7         8         
Pavarde476          Vardas476           9         8         
Pavarde477          Vardas477           2         5         
Pavarde478          Vardas478           8         5         
Pavarde479          Vardas479           7         6         
Pavarde480          Vardas480           10        7         
Pavarde481          Vardas481           2         6         
Pavarde482          Vardas482           6         6         
Pavarde483          Vardas483           9         9         
Pavarde484          Vardas484           1         5         
Pavarde485          Vardas485           9         8         
Pavarde486          Vardas486           3         5         
Pavarde487          Vardas487           1         2         
Pavarde488          Vardas488           1         4         
Pavarde489          Vardas489           8         8         
Pavarde490          Vardas490           2         1         
Pavarde491          Vardas491           1         5         
Pavarde492          Vardas492           1         6         
Pavarde493          Vardas493           2         8         
Pavarde494          Vardas494           10        7         
Pavarde495          Vardas495           4         1         
Pavarde496          Vardas496           9         6         
Pavarde497          Vardas497           9         7         
Pavarde498          Vardas498           9         9         
Pavarde499          Vardas499           1         7         
Pavarde500          Vardas500           10        7         
Pavarde501          Vardas501           2         3         
Pavarde502          Vardas502           6         5         
Pavarde503          Vardas503           5         2         
Pavarde504          Vardas504           10        8         
Pavarde505          Vardas505           3         10        
Pavarde506          Vardas506           7         5         
Pavarde507          Vardas507           6         6         
Pavarde508          Vardas508           1         10        
Pavarde509          Vardas509           9         2         
Pavarde510          Vardas510           3         3         
Pavarde511          Vardas511           4         4         
Pavarde512          Vardas512           2         3         
Pavarde513          Vardas513           1         9         
Pavarde514          Vardas514           8         8         
Pavarde515          Vardas515           9         4         
Pavarde516          Vardas516           6         5         
Pavarde517          Vardas517           8         5         
Pavarde518          Vardas518           4         1         
Pavarde519          Vardas519           10        4         
Pavarde520          Vardas520           9         9         
Pavarde521          Vardas521           6         7         
Pavarde522          Vardas522           10        1         
Pavarde523          Vardas523           7         5         
Pavarde524          Vardas524           6         6         
Pavarde525          Vardas525           1         7         
Pavarde526          Vardas526           4         10        
Pavarde527          Vardas527           9         2         
Pavarde528          Vardas528           2         9         
Pavarde529          Vardas529           6         6         
Pavarde530          Vardas530           4         3         
Pavarde531          Vardas531           3         7         
Pavarde532          Vardas532           2         4         
Pavarde533          Vardas533           5         5         
Pavarde534          Vardas534           7         8         
Pavarde535          Vardas535           10        8         
Pavarde536          Vardas536           7         6         
Pavarde537          Vardas537           1         3         
Pavarde538          Vardas538           2         2         
Pavarde539          Vardas539           8         9         
Pavarde540          Vardas540           4         10        
Pavarde541          Vardas541           10        10        
Pavarde542          Vardas542           4         1         
Pavarde543          Vardas543           2         5         
Pavarde544          Vardas544           2         2         
Pavarde545          Vardas545           7         2         
Pavarde546          Vardas546           6         1         
Pavarde547          Vardas547           4         8         
Pavarde548          Vardas548           9         10        
Pavarde549          Vardas549           3         4         
Pavarde550          Vardas550           10        3         
Pavarde551          Vardas551           8         4         
Pavarde552          Vardas552           4         10        
Pavarde553          Vardas553           3         3         
Pavarde554          Vardas554           5         7         
Pavarde555          Vardas555           6         4         
Pavarde556          Vardas556           8         6         
Pavarde557          Vardas557           1         6         
Pavarde558          Vardas558           3         8         
Pavarde559          Vardas559           9         9         
Pavarde560          Vardas560           7         2         
Pavarde561          Vardas561           8         10        
Pavarde562          Vardas562           5         3         
Pavarde563          Vardas563           5         3         
Pavarde564          Vardas564           2         6         
Pavarde565          Vardas565           4         4         
Pavarde566          Vardas566           10        8         
Pavarde567          Vardas567           4         1         
Pavarde568          Vardas568           9         1         
Pavarde569          Vardas569           2         1         
Pavarde570          Vardas570           6         10        
Pavarde571          Vardas571           7         5         
Pavarde572          Vardas572           6         6         
Pavarde573          Vardas573           7         3         
Pavarde574          Vardas574           2         1         
Pavarde575          Vardas575           1         3         
Pavarde576          Vardas576           8         2         
Pavarde577          Vardas577           5         7         
Pavarde578          Vardas578           10        5         
Pavarde579          Vardas579           8         7         
Pavarde580          Vardas580           5         3         
Pavarde581          Vardas581           8         5         
Pavarde582          Vardas582           10        4         
Pavarde583          Vardas583           10        3         
Pavarde584          Vardas584           4         9         
Pavarde585          Vardas585           3         8         
Pavarde586          Vardas586           3         1         
Pavarde587          Vardas587           5         6         
Pavarde588          Vardas588           8         10        
Pavarde589          Vardas589           4         1         
Pavarde590          Vardas590           9         5         
Pavarde591          Vardas591           2         5         
Pavarde592          Vardas592           6         5         
Pavarde593          Vardas593           10        5         
Pavarde594          Vardas594           6         6         
Pavarde595          Vardas595           1         6         
Pavarde596          Vardas596           1         9         
Pavarde597          Vardas597           6         7         
Pavarde598          Vardas598           5         10        
Pavarde599          Vardas599           2         8         
Pavarde600          Vardas600           4         3         
Pavarde601          Vardas601           8         6         
Pavarde602          Vardas602           6         9         
Pavarde603          Vardas603           6         9         
Pavarde604          Vardas604           6         6         
Pavarde605          Vardas605           3         5         
Pavarde606          Vardas606           5         7         
Pavarde607          Vardas607           4         5         
Pavarde608          Vardas608           10        4         
Pavarde609          Vardas609           7         10        
Pavarde610          Vardas610           7         9         
Pavarde611          Vardas611           6         3         
Pavarde612          Vardas612           7         1         
Pavarde613          Vardas613           6         4         
Pavarde614          Vardas614           8         10        
Pavarde615          Vardas615           8         4         
Pavarde616          Vardas616           8         4         
Pavarde617          Vardas617           9         5         
Pavarde618          Vardas618           10        7         
Pavarde619          Vardas619           6         7         
Pavarde620          Vardas620           7         7         
Pavarde621          Vardas621           8         3         
Pavarde622          Vardas622           6         8         
Pavarde623          Vardas623           10        4         
Pavarde624          Vardas624           10        4         
Pavarde625          Vardas625           2         7         
Pavarde626          Vardas626           10        6         
Pavarde627          Vardas627           9         4         
Pavarde628          Vardas628           8         10        
Pavarde629          Vardas629           2         5         
Pavarde630          Vardas630           2         1         
Pavarde631          Vardas631           1         8         
Pavarde632          Vardas632           9         5         
Pavarde633          Vardas633           7         2         
Pavarde634          Vardas634           10        4         
Pavarde635          Vardas635           10        10        
Pavarde636          Vardas636           7         10        
Pavarde637          Vardas637           4         1         
Pavarde638          Vardas638           9         1         
Pavarde639          Vardas639           10        10        
Pavarde640          Vardas640           1         3         
Pavarde641          Vardas641           9         6         
Pavarde642          Vardas642           5         10        
Pavarde643          Vardas643           1         1         
Pavarde644          Vardas644           3         2         
Pavarde645          Vardas645           9         5         
Pavarde646          Vardas646           3         4         
Pavarde647          Vardas647           2         3         
Pavarde648          Vardas648           6         9         
Pavarde649          Vardas649           8         5         
Pavarde650          Vardas650           10        4         
Pavarde651          Vardas651           10        1         
Pavarde652          Vardas652           4         10        
Pavarde653          Vardas653           3         7         
Pavarde654          Vardas654           9         10        
Pavarde655          Vardas655           1         4         
Pavarde656          Vardas656           4         3         
Pavarde657          Vardas657           8         7         
Pavarde658          Vardas658           6         4         
Pavarde659          Vardas659           4         3         
Pavarde660          Vardas660           5         5         
Pavarde661          Vardas661           3         4         
Pavarde662          Vardas662           10        7         
Pavarde663          Vardas663           3         5         
Pavarde664          Vardas664           9         10        
Pavarde665          Vardas665           7         8         
Pavarde666          Vardas666           4         3         
Pavarde667          Vardas667           5         4         
Pavarde668          Vardas668           3         1         
Pavarde669          Vardas669           10        6         
Pavarde670          Vardas670           2         5         
Pavarde671          Vardas671           2         8         
Pavarde672          Vardas672           2         7         
Pavarde673          Vardas673           7         4         
Pavarde674          Vardas674           6         8         
Pavarde675          Vardas675           10        2         
Pavarde676          Vardas676           5         6         
Pavarde677          Vardas677           2         6         
Pavarde678          Vardas678           1         1         
Pavarde679          Vardas679           5         4         
Pavarde680          Vardas680           3         6         
Pavarde681          Vardas681           2         6         
Pavarde682          Vardas682           7         5         
Pavarde683          Vardas683           6         3         
Pavarde684          Vardas684           8         5         
Pavarde685          Vardas685           10        1         
Pavarde686          Vardas686           8         9         
Pavarde687          Vardas687           5         8         
Pavarde688          Vardas688           2         6         
Pavarde689          Vardas689           9         4         
Pavarde690          Vardas690           4         2         
Pavarde691          Vardas691           3         6         
Pavarde692          Vardas692           4         10        
Pavarde693          Vardas693           2         2         
Pavarde694          Vardas694           6         8         
Pavarde695          Vardas695           2         4         
Pavarde696          Vardas696           8         10        
Pavarde697          Vardas697           6         10        
Pavarde698          Vardas698           7         4         
Pavarde699          Vardas699           9         7         
Pavarde700          Vardas700           6         1         
Pavarde701          Vardas701           9         4         
Pavarde702          Vardas702           2         5         
Pavarde703          Vardas703           5         9         
Pavarde704          Vardas704           7         8         
Pavarde705          Vardas705           4         2         
Pavarde706          Vardas706           6         1         
Pavarde707          Vardas707           3         2         
Pavarde708          Vardas708           9         2         
Pavarde709          Vardas709           6         10        
Pavarde710          Vardas710           2         3         
Pavarde711          Vardas711           10        10        
Pavarde712          Vardas712           1         3         
Pavarde713          Vardas713           5         7         
Pavarde714          Vardas714           7         4         
Pavarde715          Vardas715           2         6         
Pavarde716          Vardas716           4         6         
Pavarde717          Vardas717           4         9         
Pavarde718          Vardas718           8         9         
Pavarde719          Vardas719           3         3         
Pavarde720          Vardas720           2         4         
Pavarde721          Vardas721           10        2         
Pavarde722          Vardas722           8         10        
Pavarde723          Vardas723           2         3         
Pavarde724          Vardas724           2         2         
Pavarde725          Vardas725           4         10        
Pavarde726          Vardas726           2         5         
Pavarde727          Vardas727           5         5         
Pavarde728          Vardas728           6         3         
Pavarde729          Vardas729           5         10        
Pavarde730          Vardas730           8         7         
Pavarde731          Vardas731           5         10        
Pavarde732          Vardas732           6         5         
Pavarde733          Vardas733           1         2         
Pavarde734          Vardas734           3         4         
Pavarde735          Vardas735           8         9         
Pavarde736          Vardas736           7         1         
Pavarde737          Vardas737           9         2         
Pavarde738          Vardas738           5         10        
Pavarde739          Vardas739           6         10        
Pavarde740          Vardas740           6         8         
Pavarde741          Vardas741           2         7         
Pavarde742          Vardas742           8         8         
Pavarde743          Vardas743           7         4         
Pavarde744          Vardas744           4         1         
Pavarde745          Vardas745           6         2         
Pavarde746          Vardas746           5         7         
Pavarde747          Vardas747           2         4         
Pavarde748          Vardas748           6         2         
Pavarde749          Vardas749           7         4         
Pavarde750          Vardas750           10        9         
Pavarde751          Vardas751           7         1         
Pavarde752          Vardas752           5         9         
Pavarde753          Vardas753           1         10        
Pavarde754          Vardas754           9         10        
Pavarde755          Vardas755           9         7         
Pavarde756          Vardas756           8         10        
Pavarde757          Vardas757           5         5         
Pavarde758          Vardas758           6         3         
Pavarde759          Vardas759           5         10        
Pavarde760          Vardas760           6         8         
Pavarde761          Vardas761           8         10        
Pavarde762          Vardas762           1         4         
Pavarde763          Vardas763           4         4         
Pavarde764          Vardas764           9         3         
Pavarde765          Vardas765           10        2         
Pavarde766          Vardas766           6         10        
Pavarde767          Vardas767           6         1         
Pavarde768          Vardas768           4         7         
Pavarde769          Vardas769           1         7         
Pavarde770          Vardas770           3         8         
Pavarde771          Vardas771           1         2         
Pavarde772          Vardas772           3         6         
Pavarde773          Vardas773           9         10        
Pavarde774          Vardas774           9         6         
Pavarde775          Vardas775           1         2         
